;DIY;NGO;accessories;alcohol;antiques;apartment;appliance;arcade;archaeological;archeology;art;artwork;attraction;baby;bag;bakery;bar;beauty;bed;beverages;bicycle;boatyard;book;bookcase;bookmaker;brass;building;butcher;cafe;car;charity;chemist;chemistry;chocolate;cigarette;cinema;clothes;coffee;community;computer;confectionery;convenience;copy;cosmetics;craft;cross;dance;dancing;deli;department;electronics;escape;event;fabric;fashion;fastfood;fish;fitness;florist;flower;food;fort;fountain;furniture;gallery;game;games;garden;general;gift;greengrocer;guest;guesthouse;gym;hack;hacker;hackerspace;hairdresser;harbor;hardware;health;healthy;herbalist;hifi;hostel;hotel;house;houseware;housewares;icecream;industrial;information;instrument;instruments;jewelry;juice;kiosk;kitchen;laundry;leather;lottery;luck;mall;marina;massage;meat;medical;memorial;mobile;mobilephone;monastery;monument;motorcycle;museum;music;musical;newsagent;nightclub;nut;nuts;outdoor;paint;parts;party;pastry;perfumery;pet;phone;photo;picnic;pitch;playground;pool;port;printing;pub;public;radio;repair;restaurant;ruin;ruins;sauna;seafood;secondhand;shoes;shrine;skate;social;spices;sport;sports;sportshall;stationery;studio;supermarket;supply;swimming;table;tailor;tattoo;technics;telecommunication;textile;theater;ticket;toys;travel;variety;venue;video;videogames;viewpoint;wayside;wholesale;wine
DIY;1,0;0,074;0,3332;0,0641;0,2423;0,1044;0,32;0,1622;0,0789;0,1471;0,186;0,1301;0,0338;0,1485;0,0675;0,1837;0,0486;0,228;0,1081;0,0244;0,1703986344010443;0,1297;0,0658;0,1419;0,0635;0,0558;0,1499;0,1866;0,1609;0,1259;0,1371;0,1701;0,0293;0,0928;0,0404;0,1968;0,1821;0,1459;0,1126;0,1864;0,1484;0,1817;0,0847;0,2501;0,2848;0,0226;0,0819;0,0679;0,1961;0,021;0,3176;0,0777;0,0;0,1522;0,283;0,1405;0,0307;0,1457;0,2383;0,1657;0,1817;0,0;0,0;0,31369394731550376;0,0764;0,0266;0,0563;0,3189594797398698;0,0152;0,1335;0,2251;0,0297;0,0;0,1316;0,2027;0,2255;0,2849;0,242;0,0657;0,2566;0,0876;0,088;0,1834;0,3345;0,1193;0,03;0,1771;0,2879;0,3757;0,1269;0,1872;0,0611;0,1306;0,114;0,1948;0,0175;0,1164;0,3332;0,2044;0,1163;0,0;0,0639;0,1859;0,0429;0,105;0,0667;0,077;0,0;0,1317;0,1337;0,0557;0,0;0,1386;0,0;0,2192;0,1494;0,2342;0,116;0,1526;0,0915;0,2505;0,1567;0,0971;0,0973;0,1922;0,223;0,2654;0,026;0,0576;0,0294;0,0992;0,0781;0,0456;0,0256;0,125;0,2747;0,0996;0,1234;0,2757;0,0921;0,1615;0,0495;0,1513;0,13;0,2388;0,0176;0,0125;0,182;0,2229;0,065;0,0656;0,1002;0,1374;0,1536;0,2591;0,2712;0,0757;0,0168;0,0;0,19;0,1553;0,2462;0,0482;0,134;0,1505;0,0;0,1559;0,0741;0,1536;0,0489;0,1635;0,1932;0,0;0,1118;0,1816;0,1731
NGO;0,074;1,0;0,0275;0,002;0,0;0,0236;0,0119;0,0;0,1306;0,0752;0,0377;0,0179;0,0;0,08;0,0452;0,1103;0,0;0,0341;0,047;0,0;0,08545034642032333;0,139;0,0505;0,014;0,1015;0,0;0,0074;0,0644;0,1453;0,0059;0,4017;0,1259;0,0;0,0428;0,0338;0,1732;0,1184;0,1109;0,2292;0,0523;0,1275;0,0;0,043;0,1559;0,0223;0,0;0,0603;0,0328;0,0039;0,1187;0,0077;0,0608;0,0944;0,0701;0,0842;0,1237;0,0804;0,0;0,1047;0,1119;0,2012;0,0652;0,0489;0,04222803136939473;0,0802;0,0;0,0;0,0658329164582291;0,0474;0,0376;0,1184;0,0706;0,2262;0,0573;0,0714;0,0975;0,1292;0,1393;0,0182;0,0;0,1619;0,0234;0,1796;0,0913;0,3728;0,0598;0,0509;0,0373;0,0163;0,1166;0,0465;0,0405;0,085;0,0378;0,0382;0,0269;0,079;0,0491;0,0834;0,0878;0,0492;0,0;0,0522;0,0276;0,1337;0,0429;0,086;0,0;0,1023;0,215;0,1927;0,0673;0,0477;0,0742;0,02;0,0074;0,1453;0,0264;0,0262;0,0663;0,027;0,0879;0,0;0,099;0,0596;0,1507;0,0285;0,0452;0,0;0,0632;0,0;0,0777;0,0;0,0909;0,0443;0,0995;0,086;0,0633;0,0477;0,0787;0,0007;0,1097;0,1097;0,0501;0,0596;0,0423;0,0504;0,0;0,2569;0,0292;0,0075;0,0247;0,0515;0,1062;0,0644;0,0831;0,0629;0,009;0,0;0,0604;0,0135;0,1736;0,1716;0,1873;0,0887;0,0;0,0962;0,0;0,0093;0,0666;0,0001;0,0306;0,1321;0,0223;0,0137;0,0099
accessories;0,3332;0,0275;1,0;0,031;0,3413;0,0493;0,2744;0,2239;0,0287;0,0628;0,2053;0,2601;0,0981;0,1592;0,1746;0,0894;0,03;0,2796;0,0664;0,2871;0,17702580580379557;0,082;0,0735;0,2095;0,1216;0,1229;0,0;0,0668;0,0631;0,156;0,1403;0,0155;0,0359;0,1357;0,0596;0,102;0,3867;0,1187;0,0236;0,1942;0,1829;0,2353;0,0124;0,4186;0,1374;0,0624;0,1133;0,1424;0,1091;0,1357;0,4548;0,0096;0,079;0,2864;0,3784;0,106;0,0661;0,1653;0,1537;0,1998;0,1301;0,0307;0,0808;0,4287150613311885;0,131;0,0867;0,1447;0,2112056028014007;0,0358;0,3128;0,0377;0,0415;0,0;0,088;0,0555;0,0184;0,1589;0,1319;0,0;0,3949;0,0658;0,0529;0,0932;0,3621;0,0023;0,0493;0,0745;0,4334;0,5279;0,0706;0,0801;0,1424;0,2006;0,2385;0,509;0,1205;0,1372;0,186;0,2006;0,4636;0,0113;0,0065;0,2133;0,059;0,2146;0,062;0,0928;0,0275;0,2713;0,2584;0,0;0,0;0,1904;0,1089;0,22;0,1135;0,0517;0,0659;0,1435;0,1184;0,2798;0,1439;0,2742;0,1383;0,1089;0,253;0,1994;0,1528;0,1304;0,1041;0,0;0,1463;0,0642;0,0671;0,1175;0,0197;0,0;0,067;0,2505;0,031;0,0392;0,018;0,1157;0,1243;0,295;0,3145;0,075;0,1178;0,0554;0,2044;0,1603;0,2122;0,1975;0,384;0,0993;0,0784;0,1731;0,0654;0,0403;0,1768;0,1138;0,1601;0,214;0,225;0,0925;0,059;0,4362;0,1562;0,2346;0,0822;0,205;0,2408;0,0055;0,0;0,2304;0,1353
alcohol;0,0641;0,002;0,031;1,0;0,1138;0,1394;0,0555;0,1048;0,0835;0,0744;0,101;0,117;0,0654;0,073;0,0986;0,0705;0,2229;0,0726;0,0779;0,4262;0,10744050607490713;0,0202;0,0558;0,0;0,0661;0,0;0,0334;0,0;0,1461;0,1948;0,0937;0,1236;0,0888;0,2589;0,3453;0,1256;0,1357;0,2733;0,1457;0,0808;0,1465;0,1177;0,0169;0,1313;0,1068;0,0475;0,095;0,0939;0,1164;0,1381;0,0627;0,0561;0,079;0,0046;0,0314;0,1191;0,1352;0,1669;0,0096;0,0781;0,2619;0,0;0,1876;0,05861652925799317;0,013;0,1007;0,1227;0,08574287143571784;0,0794;0,0677;0,039;0,0575;0,0003;0,0729;0,0;0,0083;0,0;0,0096;0,0394;0,0809;0,1816;0,1422;0,1033;0,0;0,1284;0,1084;0,1313;0,0572;0,0;0,2306;0,124;0,0745;0,0259;0,0254;0,1326;0,2294;0,0669;0,0678;0,0497;0,039;0,1348;0,1066;0,1036;0,1072;0,1059;0,2072;0,1626;0,0776;0,0454;0,0472;0,0819;0,0626;0,244;0,0214;0,2109;0,0593;0,1231;0,2446;0,0698;0,0866;0,1425;0,1137;0,0426;0,189;0,1204;0,1378;0,1021;0,0274;0,0;0,0955;0,0982;0,0514;0,0781;0,0051;0,0;0,2671;0,1592;0,0754;0,043;0,1599;0,048;0,0375;0,1255;0,1965;0,138;0,0383;0,0539;0,0855;0,1816;0,1256;0,1373;0,1534;0,0224;0,0294;0,0047;0,1103;0,0339;0,0663;0,0104;0,0115;0,1489;0,0652;0,022;0,0465;0,119;0,2013;0,1135;0,0847;0,111;0,1003;0,0934;0,1887;0,0057;0,0;0,1183;0,3543
antiques;0,2423;0,0;0,3413;0,1138;1,0;0,2139;0,2241;0,241;0,339;0,3537;0,4965;0,45;0,1991;0,0897;0,0446;0,2792;0,0594;0,3064;0,0934;0,1402;0,22231147705592932;0,2915;0,2214;0,3356;0,1754;0,125;0,1553;0,2478;0,2581;0,2454;0,1743;0,1301;0,0;0,2628;0,124;0,2222;0,2929;0,259;0,111;0,1793;0,2152;0,1608;0,0357;0,2407;0,3045;0,0361;0,1379;0,1673;0,2916;0,1194;0,2633;0,0206;0,1274;0,1956;0,2525;0,0787;0,2241;0,1195;0,3249;0,3212;0,2188;0,1953;0,1115;0,5600241303036397;0,3732;0,0539;0,0851;0,3384692346173086;0,0212;0,2586;0,329;0,0674;0,198;0,0941;0,0;0,0091;0,1519;0,2393;0,1189;0,1966;0,0696;0,0317;0,2924;0,2099;0,0493;0,1655;0,2891;0,317;0,4423;0,211;0,1136;0,1765;0,1889;0,2346;0,5708;0,0262;0,0969;0,2915;0,1317;0,2536;0,1729;0,1255;0,2575;0,2255;0,168;0,2002;0,047;0,1201;0,0652;0,0668;0,2471;0,1614;0,2496;0,4714;0,2806;0,191;0,2198;0,0573;0,1233;0,1287;0,2265;0,1873;0,1818;0,0292;0,2605;0,316;0,2339;0,0612;0,0649;0,155;0,0128;0,121;0,0276;0,0778;0,0982;0,235;0,0786;0,1569;0,186;0,2574;0,1;0,1963;0,1015;0,3436;0,462;0,1822;0,2082;0,1107;0,0349;0,3278;0,1459;0,1503;0,1717;0,2353;0,1848;0,2142;0,0161;0,0611;0,1193;0,0494;0,1548;0,0577;0,1113;0,2706;0,2446;0,1133;0,3432;0,1373;0,1533;0,1375;0,0073;0,1248;0,0925;0,0778;0,1237;0,3783
apartment;0,1044;0,0236;0,0493;0,1394;0,2139;1,0;0,1832;0,1369;0,0696;0,0424;0,0938;0,1576;0,0446;0,23;0,1905;0,3133;0,2752;0,0549;0,358;0,0168;0,2540415704387991;0,2504;0,0752;0,2734;0,037;0,0;0,415;0,1449;0,3473;0,3515;0,0;0,171;0,1018;0,0702;0,2141;0,167;0,2766;0,1401;0,1439;0,1842;0,0021;0,0168;0,0995;0,1354;0,0389;0,0;0,1278;0,0698;0,3393;0,1499;0,1136;0,1734;0,0;0,0541;0,0696;0,0518;0,057;0,039;0,1698;0,0695;0,1079;0,1259;0,1715;0,30082445204102154;0,2064;0,0931;0,0294;0,2228114057028514;0,0;0,0415;0,1428;0,0959;0,37;0,2747;0,0;0,0658;0,1648;0,2286;0,1317;0,0548;0,0683;0,044;0,087;0,0274;0,3983;0,5007;0,6629;0,1083;0,1599;0,0;0,1506;0,0162;0,0845;0,0908;0,2167;0,0205;0,1793;0,3937;0,2862;0,0318;0,0882;0,0432;0,3527;0,2616;0,0808;0,059;0,0861;0,1398;0,1349;0,0944;0,2799;0,1049;0,1369;0,1548;0,0711;0,0491;0,1913;0,3692;0,0;0,0;0,107;0,0963;0,0844;0,1238;0,0685;0,1638;0,1532;0,194;0,0825;0,0833;0,0706;0,22;0,1965;0,1025;0,0837;0,2745;0,0371;0,0706;0,0528;0,3722;0,0456;0,1566;0,2085;0,0812;0,174;0,1536;0,2081;0,0818;0,1111;0,0821;0,0;0,0;0,0;0,0893;0,3524;0,2664;0,0541;0,0888;0,1122;0,0466;0,0986;0,0852;0,0217;0,1228;0,2537;0,0616;0,1068;0,0423;0,0;0,1139;0,118;0,0724;0,0183;0,0;0,0905;0,0586
appliance;0,32;0,0119;0,2744;0,0555;0,2241;0,1832;1,0;0,1105;0,0674;0,0317;0,1183;0,0526;0,0259;0,1279;0,0526;0,1772;0,0675;0,1093;0,1231;0,1089;0,13886936439401545;0,1498;0,0191;0,2355;0,0;0,0268;0,1298;0,1731;0,1442;0,2434;0,0675;0,1318;0,0036;0,062;0,1868;0,1479;0,187;0,0893;0,1034;0,3429;0,1495;0,1916;0,0969;0,2072;0,1028;0,0529;0,0385;0,0;0,2033;0,1728;0,4203;0,0661;0,1118;0,2296;0,0879;0,1502;0,1376;0,0878;0,182;0,1095;0,1799;0,0161;0,1056;0,40156846973657756;0,0181;0,0758;0,0522;0,19819909954977485;0,0;0,1332;0,1995;0,1004;0,0769;0,0697;0,1322;0,2091;0,143;0,1791;0,0288;0,484;0,0945;0,0242;0,0913;0,3053;0,0445;0,0935;0,2263;0,3085;0,3504;0,1183;0,2286;0,1724;0,1971;0,0864;0,1932;0,1004;0,2289;0,3713;0,2739;0,0695;0,0279;0,0159;0,1775;0,06;0,0734;0,1375;0,0302;0,0077;0,2171;0,2281;0,053;0,0404;0,1256;0,0302;0,0933;0,0381;0,19;0,0869;0,0938;0,0477;0,2338;0,0801;0,1377;0,0774;0,1476;0,1291;0,1908;0,1602;0,0357;0,0441;0,0766;0,0492;0,1038;0,1768;0,1033;0,1112;0,0;0,1129;0,2156;0,1852;0,0081;0,1001;0,1541;0,1814;0,2249;0,0973;0,0742;0,0171;0,1081;0,1314;0,0268;0,0609;0,1239;0,1138;0,0678;0,2149;0,1443;0,0675;0,0761;0,1063;0,0285;0,1001;0,2164;0,1954;0,2126;0,1216;0,2067;0,0298;0,065;0,0984;0,1025;0,053;0,0;0,0;0,1952;0,1513
arcade;0,1622;0,0;0,2239;0,1048;0,241;0,1369;0,1105;1,0;0,0845;0,1042;0,1859;0,229;0,2427;0,0464;0,0685;0,169;0,276;0,0536;0,0446;0,2055;0,17471633698162467;0,1016;0,1072;0,2441;0,1869;0,0646;0,1731;0,1131;0,2908;0,1292;0,0874;0,0198;0,0;0,1721;0,0874;0,231;0,076;0,1213;0,0265;0,2385;0,1985;0,1616;0,1126;0,0236;0,1794;0,0226;0,2257;0,2357;0,2674;0,0653;0,2091;0,0843;0,0706;0,0;0,0681;0,213;0,1436;0,1895;0,0784;0,1121;0,1193;0,1581;0,2591;0,18459682284335413;0,1965;0,2873;0,3106;0,17498749374687342;0,0001;0,0832;0,1987;0,0056;0,0568;0,267;0,2079;0,1434;0,2407;0,0331;0,0748;0,2957;0,0;0,031;0,0542;0,2965;0,0903;0,1833;0,1326;0,1412;0,1467;0,2163;0,0849;0,0225;0,1216;0,1;0,1359;0,1277;0,2746;0,2268;0,1227;0,1431;0,2897;0,0909;0,3486;0,2113;0,1338;0,0834;0,0094;0,0667;0,232;0,1406;0,0185;0,1137;0,1679;0,219;0,2082;0,1321;0,2305;0,2373;0,1295;0,0984;0,2372;0,1029;0,0385;0,1177;0,1507;0,0483;0,1353;0,0982;0,0974;0,1359;0,1077;0,3548;0,2211;0,1524;0,0319;0,2772;0,0;0,0306;0,1066;0,2717;0,0674;0,1644;0,2146;0,1506;0,1803;0,1145;0,1931;0,2276;0,0911;0,0938;0,2045;0,2344;0,1936;0,1512;0,2168;0,2477;0,0;0,1224;0,1793;0,0509;0,1179;0,1601;0,082;0,0265;0,1796;0,1369;0,3216;0,02;0,118;0,2017;0,3252;0,5664;0,0588;0,0503;0,0646;0,0893
archaeological;0,0789;0,1306;0,0287;0,0835;0,339;0,0696;0,0674;0,0845;1,0;0,7559;0,2658;0,2235;0,1697;0,0554;0,0443;0,1159;0,0;0,1416;0,0;0,0;0,055226428356260675;0,2045;0,0842;0,0986;0,1066;0,0596;0,1871;0,0918;0,122;0,0704;0,088;0,1554;0,1352;0,1095;0,0757;0,2156;0,1002;0,0614;0,1099;0,0788;0,1122;0,0053;0,0563;0,0846;0,0898;0,0827;0,0465;0,0206;0,0897;0,0972;0,033;0,0052;0,0336;0,0946;0,0524;0,0348;0,1322;0,0542;0,0436;0,1109;0,1025;0,3592;0,1461;0,12577920772169718;0,172;0,0809;0,0438;0,15207603801900949;0,0734;0,0794;0,1074;0,0239;0,0801;0,001;0,0709;0,0935;0,1004;0,0414;0,1774;0,055;0,1079;0,0;0,157;0,0364;0,1464;0,1358;0,0742;0,0778;0,0961;0,0557;0,1983;0,0944;0,0869;0,0889;0,2253;0,0;0,048;0,0986;0,0362;0,0604;0,0472;0,0;0,1209;0,2006;0,0263;0,1462;0,1724;0,1733;0,13;0,0589;0,348;0,3807;0,0863;0,4217;0,1314;0,1786;0,0392;0,0222;0,0;0,0168;0,146;0,0781;0,0694;0,0;0,1374;0,2391;0,0368;0,0248;0,0622;0,1198;0,0467;0,1549;0,0;0,1587;0,0293;0,0995;0,151;0,0117;0,1779;0,1356;0,1361;0,4072;0,0852;0,1682;0,1209;0,0417;0,2578;0,0303;0,1565;0,2025;0,0592;0,0637;0,0938;0,0286;0,0683;0,1158;0,0;0,147;0,0053;0,0134;0,088;0,053;0,1084;0,1777;0,1627;0,0562;0,09;0,1334;0,0305;0,1241;0,0292;0,1158;0,0546;0,0741;0,0;0,1502
archeology;0,1471;0,0752;0,0628;0,0744;0,3537;0,0424;0,0317;0,1042;0,7559;1,0;0,4108;0,2435;0,1377;0,0398;0,0;0,0624;0,0;0,1809;0,0187;0,0;0,04729390501054323;0,1821;0,1272;0,1294;0,0593;0,093;0,1489;0,1514;0,102;0,0363;0,0489;0,257;0,2634;0,0919;0,0646;0,2908;0,1362;0,0636;0,1412;0,1614;0,061;0,0217;0,0568;0,0726;0,1659;0,0876;0,1893;0,1357;0,0732;0,1936;0,1203;0,0235;0,0245;0,1103;0,1458;0,0;0,1029;0,0817;0,0364;0,1249;0,0536;0,2895;0,1001;0,1604665192037;0,1885;0,0815;0,0612;0,22311155577788894;0,0857;0,037;0,1106;0,0;0,031;0,0586;0,084;0,0747;0,1967;0,0954;0,1555;0,0355;0,1228;0,0;0,2306;0,0843;0,1685;0,0599;0,0423;0,1169;0,1478;0,0177;0,2146;0,107;0,1109;0,1108;0,1625;0,0;0,0086;0,0803;0,0184;0,0799;0,0662;0,051;0,033;0,1552;0,0878;0,1005;0,202;0,1779;0,0952;0,0235;0,2437;0,2894;0,0836;0,4384;0,258;0,2061;0,0503;0,0004;0,0303;0,0366;0,1383;0,0597;0,1095;0,0;0,1901;0,2699;0,027;0,0296;0,0572;0,1401;0,0549;0,1389;0,0094;0,1672;0,0361;0,0881;0,1361;0,0428;0,1487;0,0434;0,0827;0,2975;0,0828;0,1096;0,1366;0,0034;0,1673;0,0414;0,1895;0,1979;0,1551;0,183;0,0788;0,029;0,1015;0,0376;0,0;0,1871;0,0002;0,0185;0,13;0,1534;0,1239;0,2003;0,2248;0,0324;0,0686;0,1566;0,0711;0,0394;0,0153;0,1513;0,1197;0,0791;0,0;0,1395
